ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
1620668-20160516,2455262,295026,1,BUCCI BIG & TALL INC.,BUCCI BIG & TALL INC.,558 W ROOSEVELT RD,CHICAGO,IL,60607,25,28,25-28,1,1010,Limited Business License,911,Retail Sales of Clothing / Accessories / Shoes,1620668,RENEW,,03/15/2016,05/18/2016,N,05/16/2016,05/15/2018,05/18/2016,08/30/2016,AAI,,,41.867338566,-87.641590057,"(41.86733856638269, -87.64159005699716)"
2374115-20160916,2481313,352159,3,Genesys Works Chicago,Genesys Works Chicago,180 N WABASH AVE 6 600,CHICAGO,IL,60601,42,,42-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2374115,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/30/2016,AAI,,1,41.885353704,-87.626413285,"(41.885353703982936, -87.62641328540737)"
27700-20160416,2447963,30837,1,ROBERTO ALDAY,ROBERTO JEWELRY,5 S WABASH AVE  506,CHICAGO,IL,60603,42,9,42-9,1,1010,Limited Business License,923,Retail Sales of Jewelry and Jewelry Repair,27700,RENEW,,02/15/2016,08/30/2016,N,04/16/2016,04/15/2018,08/30/2016,08/30/2016,AAI,,,41.881921563,-87.62606306,"(41.88192156256051, -87.62606305984501)"
1964088-20161016,2486172,342076,1,EUNICE K. BAI,BURNHAM CLEANERS,720 S CLARK ST 1ST,CHICAGO,IL,60605,4,1,4-1,1,1010,Limited Business License,,,1964088,RENEW,,08/15/2016,08/30/2016,N,10/16/2016,10/15/2018,08/30/2016,08/31/2016,AAI,,,41.872956767,-87.630776976,"(41.87295676740757, -87.63077697619192)"
2055264-20160916,2481609,356403,1,OSCAR ORTEGA SERRANO,OSCAR DE LA O TAILOR SHOP,203 N LA SALLE ST MEZZ,CHICAGO,IL,60601,42,9,42-9,1,1010,Limited Business License,,,2055264,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.885822048,-87.632303735,"(41.885822047853026, -87.63230373508567)"
2380027-20160916,2477684,12322,51,"JONES LANG LASALLE AMERICAS, INC.","Jones Lang LaSalle Americas, Inc",222 S RIVERSIDE PLZ 21 2110,CHICAGO,IL,60606,42,,42-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2380027,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.878581561,-87.638578668,"(41.87858156072147, -87.6385786681057)"
1095908-20160916,2478887,208399,1,GENERAL GROWTH MANAGEMENT INC.,GENERAL GROWTH MANAGEMENT INC,110 N WACKER DR  R-21,CHICAGO,IL,60606,42,9,42-9,1,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1095908,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.883498243,-87.637200273,"(41.88349824310264, -87.63720027259416)"
2314740-20161016,2486400,355658,3,KURIAN FOODS INC.,AL'S BEEF,234 S WABASH AVE 1ST,CHICAGO,IL,60604,42,9,42-9,1,1006,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,2314740,RENEW,,08/15/2016,08/30/2016,N,10/16/2016,10/15/2018,08/30/2016,08/31/2016,AAI,,1,41.878674348,-87.626242295,"(41.878674348181335, -87.62624229534441)"
1898039-20161016,2486009,328165,1,CUTLER GROUP LP,CUTLER GROUP LP,440 S LA SALLE ST  2910,CHICAGO,IL,60605,4,49,4-49,1,1010,Limited Business License,,,1898039,RENEW,,08/15/2016,08/30/2016,N,10/16/2016,10/15/2018,08/30/2016,08/31/2016,AAI,,,41.87588847,-87.631884721,"(41.87588847004054, -87.63188472119873)"
2185370-20160916,2480478,316347,3,"TECHNOLOGY SUPPORT & SOLUTIONS, INC.","CHICAGO TECH SUPPORT, TECH SUPPORT ME",123 W MADISON ST 5TH 500,CHICAGO,IL,60602,42,9,42-9,1,1010,Limited Business License,,,2185370,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.881860938,-87.631563845,"(41.88186093773841, -87.631563844886)"
1904630-20160416,2449404,301005,2,CALLISONRTKL INC.,CALLISONRTKL INC.,200 S MICHIGAN AVE 18 & 19 1800,CHICAGO,IL,60604,42,9,42-9,1,1010,Limited Business License,,,1904630,RENEW,,02/15/2016,04/06/2016,N,04/16/2016,04/15/2018,04/06/2016,04/07/2016,AAI,,,41.879489329,-87.624498125,"(41.87948932869769, -87.6244981249339)"
2289282-20160916,2477675,12322,42,"JONES LANG LASALLE AMERICAS, INC.","Jones Lang LaSalle Americas (Illinois), L.P.",300 S WACKER DR 17 1720,CHICAGO,IL,60606,42,,42-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2289282,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.878010924,-87.637058522,"(41.87801092371806, -87.63705852233733)"
2261702-20160916,2477673,12322,40,"JONES LANG LASALLE AMERICAS, INC.","JONES LANG LASALLE AMERICAS, INC.",231 S LA SALLE ST 6TH,CHICAGO,IL,60604,42,9,42-9,1,1010,Limited Business License,708,Miscellaneous Commercial Services,2261702,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.878542932,-87.632120577,"(41.87854293163992, -87.63212057674588)"
66249-20160416,2447808,20466,1,"175 JACKSON, LLC","175 JACKSON, LLC",175 W JACKSON BLVD  1FLR,CHICAGO,IL,60604,42,49,42-49,1,1010,Limited Business License,,,66249,RENEW,,02/15/2016,04/04/2016,N,04/16/2016,04/15/2018,04/04/2016,04/07/2016,AAI,,,41.878014487,-87.63318903,"(41.878014487249544, -87.63318903001444)"
1742022-20160916,2480061,308446,1,"SRJ ENTERPRISES, INC.",7-ELEVEN,318 W ADAMS ST 1 1A,CHICAGO,IL,60606,42,12,42-12,1,1474,Package Goods,774,Retail Sales of Packaged Liquor,1742022,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.879472797,-87.635807481,"(41.87947279717996, -87.63580748102805)"
2073937-20160916,2480859,329098,3,M3 CAPITAL PARTNERS LLC,M3 CAPITAL PARTNERS LLC,150 S WACKER DR 31ST 3100,CHICAGO,IL,60606,42,12,42-12,1,1010,Limited Business License,,,2073937,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.879410846,-87.637103957,"(41.8794108457744, -87.63710395748413)"
1816521-20160516,2455097,279550,2,AAA CHECKMATE,AAA CHECKMATE,160 N WACKER DR 3 300,CHICAGO,IL,60606,42,9,42-9,1,1010,Limited Business License,,,1816521,RENEW,,03/15/2016,04/06/2016,N,05/16/2016,05/15/2018,04/06/2016,04/07/2016,AAI,,,41.884769587,-87.637207995,"(41.88476958737357, -87.63720799493302)"
1845333-20160516,2455287,296371,2,VIVI 7 INC.,Victoria Sdoukos Couture Bridal,924 W MADISON ST 1ST,CHICAGO,IL,60607,25,1,25-1,12,1010,Limited Business License,,,1845333,RENEW,,03/15/2016,04/06/2016,N,05/16/2016,05/15/2018,04/06/2016,04/07/2016,AAI,,,41.881826302,-87.650807818,"(41.88182630177177, -87.65080781824132)"
2488382-20160831,2488382,409626,1,"REINA JEWELRY DESIGN AND DIAMOND INC.,","REINA JEWELRY DESIGN AND DIAMOND INC.,",5 S WABASH AVE 12TH 1201,CHICAGO,IL,60603,42,9,42-9,1,1010,Limited Business License,923,Retail Sales of Jewelry and Jewelry Repair,2488382,ISSUE,08/31/2016,08/31/2016,08/31/2016,N,08/31/2016,09/15/2018,08/31/2016,08/31/2016,AAI,,,41.881921563,-87.62606306,"(41.88192156256051, -87.62606305984501)"
1496118-20160916,2479557,278618,1,Image Fiction Inc.,Image Fiction,221 N LA SALLE ST  1510,CHICAGO,IL,60601,42,9,42-9,1,1010,Limited Business License,,,1496118,RENEW,,07/15/2016,08/31/2016,N,09/16/2016,09/15/2018,08/31/2016,08/31/2016,AAI,,,41.886308568,-87.63231876,"(41.886308567767294, -87.63231875970524)"
2246817-20160916,2477672,12322,39,"JONES LANG LASALLE AMERICAS, INC.","Jones Lang LaSalle Americas (Illinois), L.P.",111 S WACKER DR 29 2950,CHICAGO,IL,60606,42,,42-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2246817,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.880334099,-87.636580238,"(41.88033409920658, -87.63658023772034)"
10291-20160516,2453758,26373,1,SID'S DISCOUNT CLOTHING & UNIVERSITY SHOPPE INC,SID'S CLOTHING AND HAT STORE INC.,609 W ROOSEVELT RD  1,CHICAGO,IL,60607,11,28,11-28,1,1010,Limited Business License,,,10291,RENEW,,03/15/2016,04/06/2016,N,05/16/2016,05/15/2018,04/06/2016,04/07/2016,AAI,,,41.867104818,-87.642553463,"(41.86710481787317, -87.64255346308198)"
1742021-20160916,2480060,308446,1,"SRJ ENTERPRISES, INC.",7-ELEVEN,318 W ADAMS ST 1 1A,CHICAGO,IL,60606,42,12,42-12,1,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1742021,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.879472797,-87.635807481,"(41.87947279717996, -87.63580748102805)"
1594577-20160916,2477705,13030,3,KENNEDY- WILSON PROPERTIES LTD.,KENNEDY WILSON PROPERTIES,150 S WACKER DR  1250,CHICAGO,IL,60606,42,12,42-12,1,1010,Limited Business License,,,1594577,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.879410846,-87.637103957,"(41.8794108457744, -87.63710395748413)"
1817141-20160916,2480438,315987,1,"HARBOR CAPITAL ADVISORS, INC.",HARBOR CAPITAL ADVISORS,111 S WACKER DR 34,CHICAGO,IL,60606,42,12,42-12,1,1010,Limited Business License,,,1817141,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.880334099,-87.636580238,"(41.88033409920658, -87.63658023772034)"
